day,deployments,Team,Service
2024-03-27 00:00:00.000000,30a4e2fb-cdc8-4f4f-b0cb-f2367be0ebfb,itcm,All Services
2023-12-13 00:00:00.000000,2612ebc1-739c-4485-8416-25cea6eb5063,itcm,All Services
2024-05-15 00:00:00.000000,10c50285-a500-4c08-b9a7-eae5a3fd3e12,itcm,All Services
2023-12-27 00:00:00.000000,584439f2-9147-46ee-ae9a-af0b270e6672,itcm,All Services
2023-09-22 00:00:00.000000,b3e1ee23-c721-4742-9c8e-ad290b6ee022,cic,All Services
2024-01-31 00:00:00.000000,4fc9318f-5602-409b-8454-74c57ad9ba6a,itcm,All Services
2023-12-13 00:00:00.000000,a9f0c52e-17b2-497a-ac50-c96bb8c8964b,itcm,All Services
2024-02-23 00:00:00.000000,6e5f8d91-4edd-48e3-9eca-6e046031d2cf,itcm,All Services
2024-05-15 00:00:00.000000,f7ac2314-0b42-40a8-8126-8aa753888c89,itcm,All Services
2023-09-08 00:00:00.000000,eccc9e88-6425-4f2f-aafe-4d5e1dcf3919,cic,All Services
2023-12-20 00:00:00.000000,d1461dd6-3bcf-4651-a67d-4042e7cfb75a,itcm,All Services
2024-01-17 00:00:00.000000,fda44d17-0825-47de-9ba7-029806282b62,itcm,All Services
2023-11-14 00:00:00.000000,d5fe8d78-0644-423b-9688-6da1ad6f55bd,eureka,All Services
2024-01-19 00:00:00.000000,645645ae-ff97-40ad-9bc1-f80a79ac9455,itcm,All Services
2023-12-11 00:00:00.000000,bf6118d0-4890-4de5-b2c7-c3957b9e798e,eureka,All Services
2024-01-19 00:00:00.000000,58bc27ad-2c42-4969-9a3c-951ec7656656,itcm,All Services
2024-03-11 00:00:00.000000,8bdd7b20-f83e-4d99-a2b5-9a4891f20e0d,itcm,All Services
2023-12-13 00:00:00.000000,9ab16058-e868-487f-a19d-343a0b33c9a4,itcm,All Services
2024-01-18 00:00:00.000000,0a0aee11-c3e3-498f-aaa2-cbc3c278f123,itcm,All Services
2023-12-13 00:00:00.000000,646b5702-5494-4e5c-beb8-201540ef6fe3,itcm,All Services
2023-12-06 00:00:00.000000,ca039297-9632-4ad5-9916-129a5d2df2e9,itcm,All Services
2023-12-22 00:00:00.000000,893171c5-bf56-49df-8b17-cb8e5604523a,itcm,All Services
2024-05-06 00:00:00.000000,0ad19c71-fe79-4d40-89c5-5716d575cf32,itcm,All Services
2024-04-05 00:00:00.000000,edbdcf37-50c3-44a6-9975-ca568017730c,itcm,All Services
2024-01-15 00:00:00.000000,f260e6a2-d5ac-4352-89e6-8977ed3092a1,itcm,All Services
2023-12-12 00:00:00.000000,b9515249-1643-4e0e-951f-b1622fb1b6a1,itcm,All Services
