day,time_to_change_hours,Team,Service
2023-12-27 00:00:00.000000,382,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,382,itcm,claims-backend--afc52189
2024-01-02 00:00:00.000000,526,itcm,document-library--78820e1d
2024-01-02 00:00:00.000000,526,itcm,document-library--27f08bac
2024-01-04 00:00:00.000000,554,itcm,agreement-masterdata--59e37975
2024-01-04 00:00:00.000000,554,itcm,agreement-masterdata--1cd05173
2024-01-02 00:00:00.000000,526,itcm,document-library--78820e1d
2024-01-02 00:00:00.000000,526,itcm,document-library--27f08bac
2024-01-03 00:00:00.000000,536,itcm,agreement-search--3f05ae50
2024-01-03 00:00:00.000000,536,itcm,agreement-search--a2a7dafd
2024-01-22 00:00:00.000000,1003,cic,rgo-promotion-plan--509f47ee
2023-12-12 00:00:00.000000,7,cic,kpi-configuration--fb521504
2024-01-22 00:00:00.000000,1004,cic,rgo-promotion-plan--509f47ee
2024-01-22 00:00:00.000000,1004,cic,rgo-promotion-plan--509f47ee
2024-01-03 00:00:00.000000,538,itcm,agreement-search--3f05ae50
2024-01-03 00:00:00.000000,538,itcm,agreement-search--a2a7dafd
2023-12-27 00:00:00.000000,385,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,385,itcm,claims-backend--afc52189
2024-01-22 00:00:00.000000,1005,cic,rgo-promotion-plan--509f47ee
2024-01-02 00:00:00.000000,529,itcm,document-library--78820e1d
2024-01-02 00:00:00.000000,529,itcm,document-library--27f08bac
2023-12-27 00:00:00.000000,386,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,386,itcm,claims-backend--afc52189
2023-12-12 00:00:00.000000,9,cic,rgo-customer-service--93b9b9a6
2024-01-22 00:00:00.000000,1009,cic,rgo-customer-service--93b9b9a6
2024-01-03 00:00:00.000000,541,itcm,agreement-search--3f05ae50
2024-01-03 00:00:00.000000,541,itcm,agreement-search--a2a7dafd
2023-12-12 00:00:00.000000,11,cic,rgo-metering-service--8ebf21fc
2024-01-22 00:00:00.000000,1008,cic,rgo-promotion-plan--509f47ee
2024-01-22 00:00:00.000000,1010,cic,rgo-promotion-plan--509f47ee
2023-12-11 00:00:00.000000,13,eureka,document-library--27f08bac
2023-12-11 00:00:00.000000,13,eureka,document-library--78820e1d
2023-12-20 00:00:00.000000,208,itcm,hierarchy-masterdata--3b938b2a
2023-12-20 00:00:00.000000,208,itcm,hierarchy-masterdata--2ef8368b
2023-12-11 00:00:00.000000,0,itcm,claims-settlement--08b33026
2023-12-22 00:00:00.000000,261,itcm,claims-settlement--08b33026
2023-12-11 00:00:00.000000,0,itcm,claims-settlement--08b33026
2023-12-14 00:00:00.000000,72,itcm,claims-settlement--08b33026
2023-12-22 00:00:00.000000,261,itcm,claims-settlement--08b33026
2023-12-11 00:00:00.000000,0,itcm,claims-settlement--08b33026
2023-12-14 00:00:00.000000,72,itcm,claims-settlement--08b33026
2023-12-22 00:00:00.000000,261,itcm,claims-settlement--08b33026
2023-12-11 00:00:00.000000,0,itcm,claims-settlement--08b33026
2023-12-14 00:00:00.000000,72,itcm,claims-settlement--08b33026
2023-12-22 00:00:00.000000,261,itcm,claims-settlement--08b33026
2023-12-11 00:00:00.000000,0,itcm,claims-settlement--08b33026
2023-12-14 00:00:00.000000,72,itcm,claims-settlement--08b33026
2023-12-11 00:00:00.000000,2,itcm,audit-log-lite--f321ebd3
2023-12-11 00:00:00.000000,2,itcm,audit-log-lite--46bde988
2024-01-18 00:00:00.000000,910,cic,tenant-lcm-plus--637a5ec3
2023-12-21 00:00:00.000000,254,cic,tenant-lcm-plus--2558e880
2024-05-01 00:00:00.000000,3419,itcm,recommend-promotions--4fdf3d83
2024-05-02 00:00:00.000000,3441,itcm,recommend-promotions--bacf43ea
2023-12-12 00:00:00.000000,27,itcm,business-support-system--6845d44a
2023-12-13 00:00:00.000000,43,cic,integration-config--f6aa1c4e
2023-12-12 00:00:00.000000,27,itcm,eureka-scp-integration--02ac3148
2024-01-18 00:00:00.000000,911,cic,tenant-lcm-plus--637a5ec3
2024-01-18 00:00:00.000000,911,cic,tenant-lcm-plus--637a5ec3
2023-12-12 00:00:00.000000,28,itcm,metering--4539dfb1
2023-12-12 00:00:00.000000,28,itcm,eureka-scp-integration--02ac3148
2023-12-13 00:00:00.000000,44,cic,integration-config--f6aa1c4e
2023-12-22 00:00:00.000000,265,itcm,claims-settlement--08b33026
2023-12-11 00:00:00.000000,4,itcm,claims-settlement--08b33026
2023-12-14 00:00:00.000000,76,itcm,claims-settlement--08b33026
2023-12-12 00:00:00.000000,29,itcm,claims-settlement--c3dc63d4
2023-12-12 00:00:00.000000,29,itcm,claims-settlement--08b33026
2023-12-12 00:00:00.000000,28,itcm,uom-validator-converter--e3de86e7
2023-12-12 00:00:00.000000,28,itcm,uom-validator-converter--2c57b1fa
2024-01-18 00:00:00.000000,914,cic,tenant-lcm-plus--637a5ec3
2024-01-18 00:00:00.000000,914,cic,tenant-lcm-plus--637a5ec3
2024-05-01 00:00:00.000000,3424,itcm,product-md-validation-ng--ced34846
2024-05-03 00:00:00.000000,3453,itcm,product-md-validation-ng--4eb6a63f
2024-05-01 00:00:00.000000,3424,itcm,product-md-validation-ng--ced34846
2024-05-03 00:00:00.000000,3453,itcm,product-md-validation-ng--4eb6a63f
2024-05-01 00:00:00.000000,3424,itcm,product-md-validation-ng--ced34846
2024-05-03 00:00:00.000000,3453,itcm,product-md-validation-ng--4eb6a63f
2024-01-18 00:00:00.000000,914,cic,tenant-lcm-plus--637a5ec3
2024-01-18 00:00:00.000000,914,cic,tenant-lcm-plus--637a5ec3
2024-01-16 00:00:00.000000,883,cic,lcea-biz--0d8153fe
2024-05-01 00:00:00.000000,3425,itcm,recommend-promotions--4fdf3d83
2024-05-02 00:00:00.000000,3447,itcm,recommend-promotions--bacf43ea
2023-12-11 00:00:00.000000,63,eureka,document-library--27f08bac
2023-12-11 00:00:00.000000,63,eureka,document-library--78820e1d
2023-12-11 00:00:00.000000,64,eureka,document-library--27f08bac
2023-12-11 00:00:00.000000,64,eureka,document-library--78820e1d
2024-05-01 00:00:00.000000,3470,itcm,product-md-validation-ng--ced34846
2024-05-03 00:00:00.000000,3500,itcm,product-md-validation-ng--4eb6a63f
2023-12-27 00:00:00.000000,453,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,453,itcm,claims-backend--afc52189
2024-01-22 00:00:00.000000,1074,cic,rgo-promotion-plan--509f47ee
2023-12-27 00:00:00.000000,454,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,454,itcm,claims-backend--afc52189
2024-05-01 00:00:00.000000,3474,itcm,recommend-promotions--4fdf3d83
2024-05-02 00:00:00.000000,3496,itcm,recommend-promotions--bacf43ea
2023-12-11 00:00:00.000000,69,eureka,document-library--27f08bac
2023-12-11 00:00:00.000000,69,eureka,document-library--78820e1d
2023-12-12 00:00:00.000000,78,cic,rgo-customer-service--93b9b9a6
2024-01-22 00:00:00.000000,1077,cic,rgo-customer-service--93b9b9a6
2023-12-11 00:00:00.000000,69,eureka,document-library--27f08bac
2023-12-11 00:00:00.000000,69,eureka,document-library--78820e1d
2023-12-27 00:00:00.000000,455,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,455,itcm,claims-backend--afc52189
2023-12-12 00:00:00.000000,78,cic,kpi-configuration--fb521504
2024-01-22 00:00:00.000000,1075,cic,rgo-promotion-plan--509f47ee
2024-01-22 00:00:00.000000,1075,cic,rgo-promotion-plan--509f47ee
2023-12-12 00:00:00.000000,79,cic,kpi-configuration--fb521504
2023-12-12 00:00:00.000000,79,cic,rgo-historical-data--fe099b91
2023-12-12 00:00:00.000000,79,cic,rgo-promotion-plan--509f47ee
2023-12-11 00:00:00.000000,67,itcm,approval-ui--cc67460f
2023-12-11 00:00:00.000000,67,itcm,approval-ui--f8956ff7
2023-12-12 00:00:00.000000,79,cic,rgo-customer-service--93b9b9a6
2024-01-22 00:00:00.000000,1078,cic,rgo-customer-service--93b9b9a6
2023-12-12 00:00:00.000000,92,itcm,claims-backend--c3cc11bd
2023-12-12 00:00:00.000000,94,itcm,claims-backend--afc52189
2023-12-11 00:00:00.000000,67,itcm,approval-ui--cc67460f
2023-12-11 00:00:00.000000,67,itcm,approval-ui--f8956ff7
2024-01-22 00:00:00.000000,1076,cic,rgo-promotion-plan--509f47ee
2023-12-12 00:00:00.000000,80,cic,rgo-datalake-tenant-lcm--db8a6e68
2023-12-11 00:00:00.000000,71,eureka,document-library--27f08bac
2023-12-11 00:00:00.000000,71,eureka,document-library--78820e1d
2024-01-03 00:00:00.000000,610,itcm,agreement-search--3f05ae50
2024-01-03 00:00:00.000000,610,itcm,agreement-search--a2a7dafd
2024-01-22 00:00:00.000000,1076,cic,rgo-promotion-plan--509f47ee
2023-12-12 00:00:00.000000,93,itcm,claims-backend--c3cc11bd
2023-12-12 00:00:00.000000,95,itcm,claims-backend--afc52189
